Date,Process,Product,Shift,Team,Target_Units,Actual_Units,Cycle_Time_Min,Waiting_Time_Min,Downtime_Min,Defects,Rework_Units,Quality_Units,Defect_Rate_%,Productivity_%,Lead_Time_Min,Availability_%
2026-03-26,Packaging,Product A,Morning,Team C,111,98,11.16,0.0,11.95,0,0,98,0.0,88.29,11.16,94.02
2026-03-28,Inspection,Product C,Evening,Team B,112,102,13.62,12.08,7.72,0,0,102,0.0,91.07,25.7,96.14
2026-03-08,Cutting,Product A,Morning,Team C,91,88,9.47,2.85,15.31,0,0,88,0.0,96.7,12.32,92.34
2026-01-10,Inspection,Product C,Evening,Team C,109,104,11.09,6.36,2.91,1,0,103,0.96,95.41,17.45,98.54
2026-01-27,Cutting,Product C,Evening,Team A,88,83,7.38,5.16,1.51,1,1,81,1.2,94.32,12.54,99.24
2026-01-04,Packaging,Product A,Evening,Team C,94,90,9.64,8.57,11.26,0,0,90,0.0,95.74,18.21,94.37
2026-01-05,Inspection,Product B,Evening,Team D,118,122,12.22,8.08,22.03,0,0,122,0.0,103.39,20.3,88.98
2026-01-23,Cutting,Product C,Evening,Team B,91,92,5.78,0.2,11.96,0,0,92,0.0,101.1,5.98,94.02
2026-02-21,Cutting,Product C,Morning,Team B,114,109,9.82,7.18,8.76,0,0,109,0.0,95.61,17.0,95.62
2026-01-06,Cutting,Product C,Morning,Team D,97,95,9.02,3.06,0.0,0,0,95,0.0,97.94,12.08,100.0
2026-03-30,Packaging,Product B,Evening,Team A,88,83,12.47,11.55,0.0,0,0,83,0.0,94.32,24.02,100.0
2026-02-10,Assembly,Product A,Evening,Team B,83,63,22.45,19.07,26.83,2,1,60,3.17,75.9,41.52,86.58
2026-01-24,Inspection,Product C,Morning,Team C,102,96,9.83,0.0,9.85,0,0,96,0.0,94.12,9.83,95.08
2026-02-16,Inspection,Product B,Morning,Team B,98,95,15.44,9.43,5.36,0,0,95,0.0,96.94,24.87,97.32
2026-03-13,Assembly,Product B,Evening,Team D,100,78,24.12,24.87,23.29,0,0,78,0.0,78.0,48.99,88.36
2026-01-29,Cutting,Product A,Evening,Team B,81,74,9.36,11.3,9.69,0,0,74,0.0,91.36,20.66,95.16
2026-01-05,Packaging,Product B,Evening,Team D,90,88,7.61,11.32,12.67,0,0,88,0.0,97.78,18.93,93.66
2026-01-05,Assembly,Product A,Morning,Team A,80,64,25.54,11.41,27.83,2,1,61,3.12,80.0,36.95,86.08
2026-03-18,Assembly,Product B,Morning,Team C,92,65,21.25,23.71,36.37,1,0,64,1.54,70.65,44.96,81.82
2026-01-11,Inspection,Product A,Evening,Team C,118,115,8.91,5.11,12.05,0,0,115,0.0,97.46,14.02,93.98
2026-02-27,Inspection,Product B,Morning,Team A,86,86,12.38,8.9,11.31,0,0,86,0.0,100.0,21.28,94.34
2026-02-04,Packaging,Product C,Evening,Team A,108,108,12.41,0.0,13.39,0,0,108,0.0,100.0,12.41,93.3
2026-03-11,Cutting,Product B,Evening,Team C,80,90,10.04,2.42,3.13,0,0,90,0.0,112.5,12.46,98.44
2026-01-06,Assembly,Product B,Morning,Team C,103,88,24.66,17.54,41.79,2,2,84,2.27,85.44,42.2,79.1
2026-03-22,Assembly,Product A,Morning,Team C,117,97,27.14,23.26,25.6,0,0,97,0.0,82.91,50.4,87.2
2026-03-04,Assembly,Product C,Morning,Team A,93,83,29.72,19.63,27.49,1,1,81,1.2,89.25,49.35,86.26
2026-02-10,Cutting,Product B,Night,Team C,88,88,12.21,9.1,14.21,0,1,87,0.0,100.0,21.31,92.9
2026-01-19,Cutting,Product A,Evening,Team D,103,102,10.96,0.0,20.26,1,2,99,0.98,99.03,10.96,89.87
2026-03-29,Assembly,Product A,Morning,Team A,91,75,25.74,20.15,33.04,2,2,71,2.67,82.42,45.89,83.48
2026-01-28,Assembly,Product A,Night,Team B,116,88,23.42,21.17,23.58,3,1,84,3.41,75.86,44.59,88.21
2026-02-14,Assembly,Product B,Evening,Team B,114,85,28.54,23.08,31.23,2,1,82,2.35,74.56,51.62,84.38
2026-02-05,Inspection,Product C,Evening,Team D,106,98,10.76,12.71,9.95,1,1,96,1.02,92.45,23.47,95.02
2026-01-21,Inspection,Product B,Night,Team B,106,98,14.38,15.89,16.46,1,0,97,1.02,92.45,30.27,91.77
2026-02-07,Assembly,Product A,Morning,Team B,104,78,26.31,16.54,18.62,1,0,77,1.28,75.0,42.85,90.69
2026-01-14,Assembly,Product C,Morning,Team C,110,89,21.55,10.37,28.9,2,0,87,2.25,80.91,31.92,85.55
2026-01-01,Cutting,Product A,Evening,Team A,98,98,8.84,0.0,5.09,1,0,97,1.02,100.0,8.84,97.46
2026-01-27,Inspection,Product C,Morning,Team D,119,110,13.61,13.69,12.6,0,1,109,0.0,92.44,27.3,93.7
2026-01-11,Assembly,Product A,Evening,Team D,94,63,25.26,19.89,22.91,3,0,60,4.76,67.02,45.15,88.54
2026-02-07,Cutting,Product B,Morning,Team C,80,71,10.71,2.0,20.55,1,1,69,1.41,88.75,12.71,89.72
2026-03-19,Assembly,Product C,Morning,Team C,108,77,25.67,25.74,34.77,1,1,75,1.3,71.3,51.41,82.62
2026-01-15,Assembly,Product A,Morning,Team C,107,79,25.51,22.98,30.13,1,0,78,1.27,73.83,48.49,84.94
2026-01-01,Cutting,Product B,Morning,Team D,120,120,8.86,5.1,9.38,0,1,119,0.0,100.0,13.96,95.31
2026-01-10,Assembly,Product C,Morning,Team D,96,77,24.17,16.37,21.17,3,1,73,3.9,80.21,40.54,89.42
2026-02-15,Assembly,Product A,Morning,Team B,97,82,23.84,20.21,30.18,2,1,79,2.44,84.54,44.05,84.91
2026-01-25,Inspection,Product A,Night,Team B,103,93,19.97,12.26,15.4,0,0,93,0.0,90.29,32.23,92.3
2026-02-14,Inspection,Product B,Morning,Team C,96,96,12.17,14.4,9.47,0,0,96,0.0,100.0,26.57,95.26
2026-01-03,Inspection,Product A,Morning,Team A,112,110,11.99,9.69,17.87,0,0,110,0.0,98.21,21.68,91.06
2026-01-30,Assembly,Product A,Morning,Team D,97,75,23.71,22.42,19.93,4,3,68,5.33,77.32,46.13,90.04
2026-02-06,Inspection,Product B,Morning,Team D,112,109,14.8,12.68,11.77,0,0,109,0.0,97.32,27.48,94.12
2026-02-08,Assembly,Product B,Morning,Team C,97,86,22.58,10.86,17.07,1,0,85,1.16,88.66,33.44,91.46
2026-02-19,Assembly,Product A,Evening,Team B,89,75,21.13,19.01,29.77,2,4,69,2.67,84.27,40.14,85.12
2026-03-12,Inspection,Product A,Morning,Team B,120,116,14.19,6.82,23.65,3,2,111,2.59,96.67,21.01,88.18
2026-02-12,Assembly,Product C,Night,Team B,101,72,23.03,16.07,31.34,0,1,71,0.0,71.29,39.1,84.33
2026-03-17,Assembly,Product B,Night,Team C,108,83,23.64,16.99,41.12,4,1,78,4.82,76.85,40.63,79.44
